회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
주식회사 아이스퀘어,isquare wedding,아이스퀘어, ,하숙이,기타법인,195511-0165691,615-86-05140,경상남도 김해시 김해대로 2360 (부원동), ,,예식장업,2013-11-13,12월
(주)아이앤지건설,I&G Construction. co. ltd,아이앤지건설, ,이희선,기타법인,205311-0004155,409-81-90784,광주광역시 서구 하남대로 698 (동천동) 일군타워, ,,그 외 기타 협회 및 단체,2006-04-14,12월
(주)아이언사천,"IRON SACHEON CO., LTD",아이언사천, ,김용근,기타법인,195411-0009966,613-81-33344,"경상남도 사천시 축동면 두량로 59 (배춘리, (주)아이언사천)", ,,자동차 종합 수리업,2003-10-23,12월
(주)아이와 산업,"AIWA SANGYO CO., LTD",아이와산업, ,KOZO IKEDA,기타법인, ,12277,"2-36-1, Nishi-Ikebukuro, Toshima-Ku, Tokyo. JAPAN", ,,그 외 기타 분류 안된 개인 서비스업,1974-09-01,12월
주식회사 아이케이,"IK Co.,Ltd",아이케이, ,강남욱,기타법인,180111-1029859,496-88-00456,"부산광역시 북구 만덕대로 30 (덕천동, 미래빌딩)", ,,그 외 기타 협회 및 단체,2016-04-01,12월
(주)아자산업,"AJA Co, Ltd",아자산업, ,오동현,기타법인,124411-0070657,137-81-66360,경기도 김포시 풍무동 532-3 프라임빌프라자 4층, ,,욕탕업,2005-02-22,12월
주식회사아젠토피오레컨벤션,ARGENTOFIORECONVENTION,아젠토피오레컨벤션, ,강영철,기타법인,220111-0193250,302-81-30262,제주특별자치도 제주시 서광로 112 (오라삼동), ,,예식장업,2019-08-08,12월
아주모터스(주),AJU MOTORS,아주모터스, ,최광석,기타법인,135811-0376830,547-81-01415,경기도 수원시 영통구 매영로220번길 21 (원천동), ,,자동차 종합 수리업,2019-10-14,12월
주식회사 아카,"aka co.,ltd",아카, ,주봉만 최종성,기타법인,134811-0783416,109-87-03310,경기도 화성시 동탄역로 56 (오산동), ,,자동차 세차업,2024-01-30,12월
(주)아쿠아랜드,co. aqua land,아쿠아랜드, ,김종운,기타법인,224111-0011036,616-81-49355,제주특별자치도 서귀포시 법환동 914, ,,욕탕업,2004-10-25,12월
아트샵모터스 주식회사,artshop motors ,아트샵모터스, ,신태호,기타법인,120111-0684341,137-86-41253,인천광역시 서구 백범로 706 (가좌동),www.artshopmotors.co.kr,,자동차 종합 수리업,2013-12-31,12월
재단법인 아트실비아,ARTSYLVIA FOUNDATION,아트실비아, ,신영애,기타법인,114622-0042106,211-82-17484,"서울특별시 강남구 영동대로 721 (청담동, 리버뷰오피스텔) 1503호", ,,그 외 기타 협회 및 단체,2011-04-04,12월
아펠가모(주),"APELGAMO CO.,LTD.",아펠가모, ,이시형,기타법인,110111-6108024,592-86-00444,"서울특별시 서초구 강남대로51길 1 (서초동, 511TOWER),6층",www.apelgamo.co.kr/,,예식장업,2016-07-01,12월
안락주식회사,"AN LAC C0.,LTD.",안락, ,김태열,기타법인,180111-0140482,607-81-31002,부산광역시 동래구 낙민동 13-1, ,,예식장업,1993-04-21,03월
(주)안세기술,"Anse Technologies co.,ltd",안세기술, ,이용안,기타법인,110111-1055519,118-81-09785,"서울특별시 구로구 디지털로26길 5 (구로동, 에이스하이엔드타워1차) 701호", ,,산업 단체,1994-07-20,12월
주식회사 알리앙스,"SEO WON Co.,Ltd",알리앙스, ,정명표,기타법인,170111-0020561,503-81-06536,대구광역시 달서구 감삼동 141-5번지,www.alliance.co.kr,,예식장업,1994-03-01,12월
알바이십일회원권거래소(주),"ALBA21 MEMBERSHIP TRADING AGENCY CO., LTD.",알바이십일회원권거래소, ,김명호,기타법인,110111-2626814,211-87-21566,서울특별시 강남구 논현동 81-12 서울빌딩,www.alba21golf.com,,그 외 기타 분류 안된 개인 서비스업,2002-10-09,03월
(주)알티베이스,ALTIBASE,알티베이스, ,김기완,기타법인,110111-1816169,105-86-05167,서울특별시 영등포구 여의도동 44-11 인영빌딩 5층,www.altibase.com,,그 외 기타 분류 안된 개인 서비스업,1999-11-26,12월
(주)앙츠,"Antz. Co., Ltd",앙츠,267810,박창진,기타법인,110111-5730810,404-88-00118,"서울특별시 영등포구 여의서로 43(여의도동 11-11, 제4층 제401호)",www.iantz.co.kr,,통신장비 수리업,2015-05-22,12월
재단법인 애경복지재단,Aekyung Welfare Foundation,애경복지재단, ,홍미경,기타법인,115122-0001713,113-82-04875,"서울특별시 마포구 양화로 188 14층 (동교동, 애경타워)", ,,그 외 기타 협회 및 단체,2000-07-29,12월
약산개발(주),YARK SAN,약산개발, ,제갈 홍기,기타법인,170111-0124868,514-81-30069,대구광역시 달성군 논공읍 하리 509,없음,,욕탕업,1998-04-25,12월
(재)양영재단,yangyoungfoundation,양영재단, ,김윤,기타법인,110122-0001479,208-82-00968,서울특별시 종로구 종로33길 31,samyang.yangyoungfoundation.org,,그 외 기타 협회 및 단체,1939-06-26,12월
양지대형서비스기아오토큐 주식회사,dongilcar,양지대형서비스기아오토큐, ,홍삼선,기타법인,134511-0346640,261-86-00929,경기도 용인시 처인구 양지면 중부대로 2318 (양지리), ,,자동차 종합 수리업,2018-03-01,12월
주식회사 어린농부,"Little Farmer.,co.LTD",어린농부, ,"정금자, 천재용",기타법인,110111-4160612,105-87-34728,서울특별시 마포구 성산동 250-26,www.dalki.com,,기타 개인 및 가정용품 수리업,2009-08-18,12월
(주)얼머스인베스트먼트,Ulmus partners.Inc,얼머스인베스트먼트, ,손양철,기타법인,110111-6620482,498-87-00945,"서울특별시 강남구 영동대로 316 8층(대치동, 새마을운동중앙회)", ,,그 외 기타 협회 및 단체,2018-02-01,12월
에벌루션 주식회사,EVOLUTION,에벌루션, ,임삼택,기타법인,200111-0196703,410-81-91779,광주광역시 서구 치평동 573-1, ,,예식장업,2004-07-13,12월
(주)에스가든웨딩홀,S Garden Wedding Hall,에스가든웨딩홀, ,이지선,기타법인,150111-0341474,187-88-02865,"충청북도 청주시 서원구 1순환로 854 (산남동, CJB미디어센터)", ,,예식장업,2022-12-28,12월
(주)에스디씨,-,에스디씨, ,김정숙,기타법인,160111-0353683,314-86-54734,대전광역시 유성구 도안대로 93 (대정동)서대전컨벤션웨딩, ,,예식장업,2014-02-20,12월
(주)에스디하우징,SDHOUSING,에스디하우징, ,조준모,기타법인,110111-6966084,117-81-93072,경상북도 포항시 남구 효성로30번길 25-6 (효자동), ,,산업 단체,2018-12-24,12월
(재)에스비에스문화재단,SBS FOUNDATION,에스비에스문화재단, ,윤세영,기타법인,111222-0006828,116-82-04743,"서울특별시 강서구 양천로 442 (등촌동, SBS방송국등촌동스튜디오) 3층",foundation.sbs.co.kr/,,그 외 기타 협회 및 단체,1993-10-25,12월
주식회사에스에이치파워,"SH POWER Co., Ltd.",에스에이치파워, ,한봉섭,기타법인,161511-0238547,420-87-01257,"충청남도 천안시 서북구 천일고3길 47 (신당동, 석원산업(주))", ,,그 외 기타 달리 분류되지 않은 개인 서비스업,2018-09-14,12월
에스제이산림조합상조 주식회사,Forestry Cooperative Funeral Service Inc,에스제이산림조합상조, ,이창석,기타법인,110111-6162799,227-86-00536,"서울특별시 송파구 석촌호수로 166 (삼전동, 산림조합중앙회)10층 에스제이산림조합상조",www.sjsangjo.com,,장례식장 및 장의관련 서비스업,2016-08-29,12월
주식회사 에스제이써미트,sjsummit,에스제이써미트, ,조태호,기타법인,210111-0137903,402-81-27693,전라북도 전주시 완산구 평화7길 22 상가동 313호 (평화동2가), ,,산업 단체,1999-07-15,12월
주식회사 에스지아이,없음,에스지아이, ,홍금선,기타법인,110111-0746614,114-81-40542,서울특별시 강남구 청담동 53-8 은성빌딩,없음,,그 외 기타 분류 안된 개인 서비스업,1991-01-29,12월
(주) 에스컨벤션,"s convention co.,ltd",에스컨벤션, ,심동준,기타법인,160111-0337380,314-86-42581,대전광역시 서구 동서대로 1040 (변동),없음,,예식장업,2012-12-31,12월
에스케이인텔릭스서비스(주),SK Magic Service Co. Ltd,에스케이인텔릭스서비스, ,장상욱,기타법인,134811-0039752,124-81-60109,"서울특별시 금천구 가산디지털1로 168 (가산동, 우림라이온스밸리) A동 405호",www.skmagic.com,,개인 및 소비용품 수리업,1999-01-09,12월
재단법인 에쓰-오일 과학문화재단,S-OIL Science and Culture Foundation,에쓰-오일과학문화재단, ,백운규,기타법인,254122-0020319,107-82-14970,"서울특별시 마포구 백범로 192 (공덕동, 에쓰오일사옥빌딩) 9층",www.s-oil.com/relation/contribution04.aspx,,그 외 기타 협회 및 단체,2011-01-06,12월
에이스상조(주),-,에이스상조, ,정영일,기타법인,110111-3558024,215-86-91728,서울특별시 금천구 가산동 이앤씨드림타워7차 1205호,-,,장례식장 및 장의관련 서비스업,2006-11-16,12월
(주)에이치모터스,"HT Motors co.,ltd",에이치모터스, ,김은경,기타법인,110111-3709338,214-88-11273,서울특별시 서초구 서초동 1617-37,www.htmotors.co.kr,,자동차 종합 수리업,2007-06-29,12월
주식회사 에이치봄,Hbom,에이치봄, ,박말불,기타법인,180111-1188613,867-88-00930,"부산광역시 해운대구 중동2로 16 (중동, 해운대온천센터)",해운대온천센터,,욕탕업,2018-12-05,03월
주식회사 에이치앤에이치디벨롭먼트,"HNH Development Co., Ltd.",에이치앤에이치디벨롭먼트, ,김지훈,기타법인,120111-1005314,319-87-01511,인천광역시 남동구 호구포로 139 (고잔동), ,,그 외 기타 협회 및 단체,2019-06-19,12월
(주)에이치엔디,"HND Co., Ltd.",에이치엔디, ,최상화,기타법인,230111-0236743,295-87-00050,울산광역시 울주군 청량면 삼정로 38 (삼정리), ,,그 외 기타 협회 및 단체,2015-03-19,12월
(주)에이치투디앤아이,"h2d&i.co,ltd",에이치투디앤아이, ,홍상혁,기타법인,110111-3763342,214-88-16036,"서울특별시 동대문구 장한로 52 (장안동, 경남빌딩) 603-1호", ,,그 외 기타 협회 및 단체,2007-10-09,12월
주식회사 에이치티개발,happy together development,에이치티개발, ,이지택,기타법인,131411-0369986,769-86-00383,"경기도 안산시 단원구 동산로 63 410호 (원시동, 이마트)", ,,그 외 기타 협회 및 단체,2016-07-11,12월
에이텍시스템,"ATEC SYSTEM Co., Ltd.",에이텍시스템, ,한가진,기타법인,110111-3792482,214-88-18539,"경기도 성남시 분당구 판교로 289 (삼평동, 에이텍빌딩)",www.atecsystem.kr,,컴퓨터 및 주변 기기 수리업,2008-01-01,12월
에이플러스,A.plus,에이플러스, ,이진형,기타법인,140111-0029189,221-81-26299,강원도 춘천시 석사동 285번지 춘천 로데오 B동 203호, ,,"화장터 운영, 묘지 분양 및 관리업",2005-07-05,12월
(주)에이플러스라이프,APLUSLIFE,에이플러스라이프, ,서덕태,기타법인,110111-3989245,120-87-33918,"서울특별시 강남구 역삼로 415 (대치동, 성진빌딩)",www.apluslife.co.kr/mutual/default/index.php,,장례식장 및 장의관련 서비스업,2008-11-01,12월
에프씨인베스트주식회사,"FCINVEST CO., LTD",에프씨인베스트, ,원덕연,기타법인,180111-0602565,603-81-66232,부산광역시 서구 남부민동 523-53,songdohaesoopia.com,,욕탕업,2007-08-07,03월
주식회사 엔에이치테크,NAUTILUS HYOSUNG TECH INC.,엔에이치테크, ,이동훈,기타법인,110111-2744327,211-87-30541,경기도 성남시 중원구 마지로 52 (하대원동) 5층,www.nhtec.com/,,컴퓨터 및 주변 기기 수리업,2003-04-01,12월
주식회사 엔젤플러스,ANGELPLUS,엔젤플러스, ,김태훈,기타법인,110111-3249699,220-87-12396,"서울특별시 서초구 반포대로30길 5 (서초동, 홍은빌딩) B1,2,3,8층",www.1588-1004.co.kr,,그 외 기타 달리 분류되지 않은 개인 서비스업,2005-06-27,12월
(주)엔파크,n park,엔파크, ,김인자,기타법인,110111-0764129,113-81-33067,경기도 양주시 산북동 산 68-1, ,,"화장터 운영, 묘지 분양 및 관리업",1991-03-28,12월
엘리에나호텔 주식회사,elienahotel ltd.,엘리에나호텔, ,송미경,기타법인,110111-3700120,117-81-62531,"서울특별시 강남구 논현로 645 (논현동, 엘리에나호텔)", ,,예식장업,2007-07-13,12월
엘비라이프주식회사,ELBEE LIFE Co.Ltd,엘비라이프, ,임세환,기타법인,110111-4570746,211-88-58191,"서울특별시 강남구 강남대로 574 (논현동, 전기공사공제조합회관)",www.elbeelife.com,,장례식장 및 장의관련 서비스업,2011-04-01,12월
(주)엘비젼,"SAMJUNG INT'L CO.,LTD.",엘비젼, ,이강인,기타법인,110111-0287163,229-81-11811,"서울특별시 서초구 강남대로 213 (양재동, 스포타임)",www.sportime.co.kr,,예식장업,1981-02-01,12월
엘시자산개발 주식회사,lcjasan,엘시자산개발, ,이성철,기타법인,180111-0880062,605-86-23613,부산광역시 동구 중앙대로226번길 7-5 (초량동), ,,그 외 기타 협회 및 단체,2013-10-07,12월
재단법인 엘지생활건강미래화장품육성재단,LG H&H FUTURE COSMETIC SUPPORT FOUNDATION,엘지생활건강미래화장품육성재단, ,박선규,기타법인,150122-0010993,632-82-00079,"서울특별시 강서구 마곡중앙10로 70 (마곡동, LG사이언스파크) 이10 서관8층", ,,그 외 기타 협회 및 단체,2016-01-18,12월
(주)엘케이디앤씨,LK D&C,엘케이디앤씨, ,유진용,기타법인,110111-1464124,218-81-21376,"경기도 의정부시 비우로 117 (가능동, 운암빌딩) 1층", ,,"화장터 운영, 묘지 분양 및 관리업",2006-11-30,12월
주식회사 엠,"M ENGINEERING & CONSTRUCTION CO.,Ltd. ",엠, ,임종근,기타법인,120111-0524464,121-86-01673,"경기도 성남시 분당구 판교로255번길 9-22 602호(삼평동, 판교우림 W-city)", ,,그 외 기타 협회 및 단체,2010-03-08,12월
(주)엠디엠에프엔씨,MDM F&C Corp.,엠디엠에프엔씨, ,문황석,기타법인,110111-1150195,215-81-46024,"서울특별시 강남구 테헤란로 306 (역삼동, 카이트타워) 20층", ,,예식장업,1995-04-20,12월
재단법인 엠앤제이 문화복지재단,M&J Foundation,엠앤제이문화복지재단, ,홍은진,기타법인,240122-0013576,206-82-13701,"서울특별시 성동구 광나루로6길 35 (성수동2가, 성수동우림이비즈센터) 705호",www.mnjfoundation.org/,,그 외 기타 협회 및 단체,2015-02-03,12월
엠에스씨코리아,MSC KOREA,엠에스씨코리아, ,최진욱,기타법인,110111-2445446,220-86-30475,인천광역시 남동구 고잔동 663-3, ,,그 외 기타 분류 안된 개인 서비스업,2002-02-08,12월
(주)엠엘씨,"MLC Co., Ltd",엠엘씨, ,유교선,기타법인,180111-0368539,617-81-34520,부산광역시 남구 이기대공원로 57-73 (용호동),www.metrolands.com,,욕탕업,2001-07-09,12월
(주)영남상조,youngnam sangjo,영남상조, ,신기진,기타법인,170111-0131756,514-81-29674,대구광역시 중구 남산동 2107-6 코스모스빌딩 8층,www.ynsangjo.com,,장례식장 및 장의관련 서비스업,1998-02-27,12월
영원무역사내근로복지기금,Youngone Corporation Employee Welfare Fund,영원무역사내근로복지기금, ,성기학,기타법인,110171-0002697,110-82-07970,서울특별시 중구 만리동2가171, ,,그 외 기타 협회 및 단체,1998-10-01,12월
주식회사 영재,"Youngjae Co., Ltd",영재, ,김정래,기타법인,110111-5198852,204-86-44230,"서울특별시 중랑구 사가정로 399 8층 (면목동, 동부빌딩)", ,,장례식장 및 장의관련 서비스업,2013-08-01,12월
(재)영주문화관광재단,YeongJu Culture & Tourism Foundation,영주문화관광재단, ,장욱현,기타법인,175622-0001125,418-82-09474,경상북도 영주시 가흥로 109 (가흥동) (재)영주문화관광재단,www.yjyctf.or.kr,,그 외 기타 협회 및 단체,2016-05-18,02월
(재)영풍문화재단,young poong culture foundation,영풍문화재단, ,장형진,기타법인,114622-0000229,211-82-03641,서울특별시 강남구 강남대로 542,www.ypmoonhwa.or.kr,,그 외 기타 협회 및 단체,1980-04-20,12월
재단법인 예강희망키움재단,Yegang Hope Kiwoom Foundation,예강희망키움재단, ,박상조,기타법인,270122-0006829,268-82-00733,서울특별시 마포구 독막로 311 재화스퀘어 17층,www.yegangfoundation.org,,그 외 기타 협회 및 단체,2025-05-12,12월
(주)예술웨딩컨벤션,Art Wedding Convention,예술웨딩컨벤션, ,이현수,기타법인,205411-0018097,412-81-39973,전라남도 영암군 영암읍 춘양리 499,art2760060naver.com,,예식장업,2010-07-28,12월
주식회사 오션식스,Oceansix,오션식스, ,심용만,기타법인,110111-2751356,215-86-40535,"경기도 성남시 분당구 수내동 1 ~23 수내동다운타운 801호, 901호", ,,욕탕업,2009-03-16,12월
주식회사 오스티엄,OSTIUM ,오스티엄, ,전하영,기타법인,110111-3686700,211-87-98518,서울특별시 강남구 신사동 613-5 캐럴라인타워 지하1층,www.ostium.co.kr,,예식장업,2007-05-29,12월
재단법인오씨아이장학회,OCI Scholarship ,오씨아이장학회, ,한철,기타법인,211122-0002136,401-82-09044,전라북도 군산시 외항로 82 재단법인오씨아이장학회, ,,그 외 기타 협회 및 단체,2010-05-04,12월
(주)오앤제이, The Laville,오앤제이, ,오기수,기타법인,110111-5108869,206-86-76572,"서울특별시 강남구 봉은사로 531 (삼성동, 봉은사)",www.thelaville.com,,예식장업,2013-04-12,12월
오운문화재단,OWOON FOUNDATION,오운문화재단, ,백기훈,기타법인,110122-0002732,202-82-31008,"서울특별시 서초구 서초대로70길 32 (서초동, 코오롱스포렉스)", ,,그 외 기타 협회 및 단체,1981-10-19,12월
재단법인 오케이배정장학재단,OK Bae&Jung Scholarship Foundation,오케이배정장학재단, ,최윤,기타법인,114622-0029815,220-82-05129,"서울특별시 중구 세종대로 39 (남대문로4가, 대한서울상공회의소) 10층",www.okscholarship.or.kr,,그 외 기타 협회 및 단체,2002-04-04,03월
주식회사오토맥스,AUTOMAX,오토맥스, ,김대성,기타법인,121111-0114884,130-86-02244,경기도 부천시 부천로 190 경기도 부천시 부천로 190(춘의동),www.automaxcar.co.kr,,자동차 종합 수리업,2003-12-01,12월
주식회사 오토킹,AUTOKING,오토킹, ,박정호,기타법인,115911-0021643,128-81-38405,경기도 고양시 덕양구 충장로 208, ,,자동차 종합 수리업,1999-03-17,12월
주식회사 오토테크,AUTOTECH,오토테크, ,손남식,기타법인,120111-0184664,139-81-39710,인천광역시 남동구 남동서로 198 (고잔동), ,,자동차 종합 수리업,1999-02-01,12월
오토플러스주식회사,AutoPlus.Co.Ltd.,오토플러스, ,송재성,기타법인,110111-1847784,105-86-06429,"서울특별시 영등포구 선유동2로 57 신관 11층(양평동4가, 이레빌딩)",www.autoplus.co.kr,,자동차 전문 수리업,2000-01-10,12월
주식회사 오페라하우스,-,오페라하우스, ,김인하,기타법인,200111-0151905,409-81-67129,광주광역시 동구 동명동 80 - 1, ,,예식장업,2002-03-13,12월
주식회사 온유산업,Onyu industrial Co. Ltd,온유산업, ,홍채희,기타법인,201111-0052491,246-87-00927,광주광역시 북구 필문대로 3-1 (풍향동), ,,자동차 세차업,2018-03-07,12월
와이엠이십일유통주식회사,"ym21 distribution, Inc.",와이엠이십일유통, ,박윤순,기타법인,110111-1943962,214-86-55807,서울특별시 서초구 효령로4길 24 (방배동) 와이엠빌딩4층,ym21.co.kr,,산업 단체,2000-04-19,12월
주식회사 와이케이이노베이션,"Y.K.Innovation Co., Ltd.",와이케이이노베이션, ,하용진,기타법인,110111-1472177,217-81-13801,"강원도 원주시 시청로 22 503호(무실동,리젠트프라자)", ,,그 외 기타 협회 및 단체,1997-10-14,12월
주식회사용궁온천,없음,용궁온천, ,홍순필,기타법인,120111-0307224,137-81-50965,"인천광역시 강화군 강화읍 남문로 41 ,107동 201호(남산리, 남산리이지미래지향아파트)", ,,욕탕업,2003-01-09,12월
재단법인 용문장학회,youngmun,용문장학회, ,이준근,기타법인,134622-0000019,125-82-00019,경기도 안성시 장기2길 43 (신흥동), ,,그 외 기타 협회 및 단체,1967-08-23,12월
(주)용인공원라이프,yonginparklife.com,용인공원라이프, ,김현호,기타법인,110111-4420024,220-88-04156,"경기도 안양시 동안구 시민대로 260 (관양동, 안양금융센터A.F.C) 810호",www.yonginparklife.com,,장례식장 및 장의관련 서비스업,2010-08-25,12월
용천개발주식회사,해당사항없음,용천개발, ,전선자,기타법인,115411-0011694,127-81-54023,경기도 포천군 일동면 수입리 69,해당사항없음,,욕탕업,1996-03-15,12월
우국물산(주),"wookook mulsan co., ltd",우국물산, ,이기영,기타법인,110111-0115629,104-81-01391,서울특별시 중구 북창동 10-4 삼흥빌딩 6층, ,,"욕탕, 마사지 및 기타 신체관리 서비스업",1971-05-26,12월
(주)우리들에셋매니지먼트,Wooridle Asset Management Company,우리들에셋매니지먼트, ,노종구,기타법인,110111-2716467,107-86-30546,서울특별시 영등포구 여의도동 리버타워, ,,욕탕업,2003-02-14,12월
우리상조개발,woorisangjo,우리상조개발, ,최영철,기타법인,110111-3292052,114-86-46352,서울특별시 서초구 잠원동 76-4번지,www.woori-sangjo.co.kr/,,장례식장 및 장의관련 서비스업,2005-08-23,12월
주식회사 우리전기,"woori electric.co.,Ltd",우리전기, ,고도영,기타법인,180111-0373942,607-81-55343,"부산광역시 사상구 괘감로 67 4층 (괘법동, 서감카인테리어)", ,,산업 단체,2001-08-21,12월
우리제주상조 주식회사,woorijeju-sangjo,우리제주상조, ,한경봉,기타법인,220111-0088576,616-81-91950,"제주특별자치도 제주시 승천로 62 (아라이동,5층)", ,,장례식장 및 장의관련 서비스업,2012-01-02,12월
주식회사 우림공업사,"WOOLIM IND. CO.,LTD",우림공업사, ,허기영,기타법인,284111-0172696,435-81-00786,"경기도 남양주시 진접읍 양진로 989-34 (연평리, ㈜우림공업사)", ,,자동차 종합 수리업,2017-04-28,12월
주식회사 우림자동차,woorimmotors,우림자동차, ,오헌식,기타법인,110111-3212787,214-87-70799,경기도 화성시 원고매로2번길 30 (영천동)우림자동차, ,,자동차 종합 수리업,2005-08-01,12월
(주)우신오토파트너스,"Wooshin Autopartners Co.,Ltd.",우신오토파트너스, ,조종현,기타법인,110111-7677995,826-87-02129,서울특별시 서초구 과천대로 840 (방배동) 3층,www.autopartners.co.kr/,,자동차 전문 수리업,2020-11-09,12월
주식회사 우전타워,woojeon tower,우전타워, ,이기호,기타법인,134511-0236239,114-87-15915,"경기도 용인시 기흥구 구갈로 25-1 (구갈동,3층)", ,,그 외 기타 협회 및 단체,2014-06-18,12월
재단법인 우정교육문화재단,Woojung Education and Culture Foundation,우정교육문화재단, ,이세중,기타법인,110122-0047283,104-82-10728,"서울특별시 중구 세종대로9길 42 (서소문동, 부영빌딩) 5층", ,,그 외 기타 협회 및 단체,2008-12-29,12월
(주)우정라이프,ujeonglife. co.,우정라이프, ,김우형,기타법인,280211-0101803,127-86-26099,"경기도 의정부시 시민로 31 14층 (의정부동, 네오타워빌딩)",ujeonglife.com,,장례식장 및 장의관련 서비스업,2010-08-11,12월
재단법인 우촌심뇌혈관연구재단,Woochon Cardio-Neuro-Vascular Research Foundation,우촌심뇌혈관연구재단, ,서정욱,기타법인,121122-0003399,130-82-17808,"인천광역시 계양구 계양문화로 7 (작전동, 문화빌딩) 2층",woochon.org,,그 외 기타 협회 및 단체,2013-06-25,12월
(주)울산국화원장례식장,ULSAN FUNERAL HALL,울산국화원장례식장, ,신정균,기타법인,230111-0126853,610-81-86895,울산광역시 남구 산업로 88 (상개동),www.ulsanfh.com,,장례식장 및 장의관련 서비스업,2007-04-19,12월
(주)웅진프리드라이프,"PreedLife Co.,Ltd",웅진프리드라이프, ,문호상,기타법인,230111-0083681,610-81-56858,"서울특별시 중구 세종대로 14 (남대문로5가, 그랜드센트럴(GRANDCENTRAL)), B동 13층",www.preedlife.com,,장례식장 및 장의관련 서비스업,2002-02-21,12월
주식회사 워시스왓,WASHSWAT INC.,워시스왓, ,"예상욱, 남궁진아",기타법인,110111-5667807,865-88-00031,서울특별시 금천구 범안로11길 65 (독산동),www.getwashswat.com,,가정용 세탁업,2015-03-17,12월
주식회사 원스톱서비스,One-stop Service Co.Ltd,원스톱서비스, ,홍차옥,기타법인,110111-5854058,801-87-00312,"경기도 하남시 대청로 119-1 (창우동, 부영아파트상가동) 401호", ,,전문가 단체,2015-11-23,12월
(주)원천기업,"WONCHON ENTERPRISE CO.,LTD",원천기업, ,이재설,기타법인,110111-0352320,212-81-04286,"서울특별시 강동구 양재대로 1396 (둔촌동, 원천빌딩)", ,,그 외 기타 협회 및 단체,1983-06-28,12월
주식회사 월드드림랜드,worlddreamland co.kr,월드드림랜드, ,장오용,기타법인,200111-0380786,410-86-81223,"광주광역시 광산구 풍영로 83 (월곡동, 우석빌딩) 4-5층", ,,욕탕업,2013-10-17,12월
주식회사 월드아이,iconventionwedding,월드아이, ,송재필,기타법인,131411-0211947,106-86-69897,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역)", ,,예식장업,2008-05-13,12월
웨딩그랜덤,WEDDING GRANDOM,웨딩그랜덤, ,이일규,기타법인,190111-0070455,608-81-75925,"경상남도 창원시 마산합포구 오동동14길 39 (오동동, 웨딩팰리스) 웨딩그랜덤",www.grandom.co.kr,,예식장업,2009-04-20,12월
주식회사 웨딩그룹위더스광주,weddinggroup withus,웨딩그룹위더스광주, ,이병규,기타법인,200111-0432131,598-81-00092,광주광역시 서구 죽봉대로 153 (광천동),withusgj.co.kr,,예식장업,2015-07-01,12월
주식회사 웨딩그룹위더스광주,weddinggroup withus,웨딩그룹위더스광주, ,이병규,기타법인,200111-0719969,449-88-03059,광주광역시 서구 죽봉대로 153 (광천동), ,,예식장업,2024-05-01,12월
주식회사웨딩그룹위더스안양,wedding group withus anyang,웨딩그룹위더스안양, ,이병규,기타법인,110111-4088195,212-81-86309,경기도 안양시 만안구 안양로 104 55 웨딩그룹위더스, ,,예식장업,2009-05-01,12월
주식회사웨딩그룹위더스영등포,wedding group withus,웨딩그룹위더스영등포, ,이병규,기타법인,110111-4870047,105-87-72135,"서울특별시 영등포구 영중로 55 (영등포동6가, 웨딩그룹위더스)",www.withus.kr,,예식장업,2012-05-29,12월
주식회사 웨딩그룹위더스영등포,WITHUS Y,웨딩그룹위더스영등포, ,이병규,기타법인,135111-0053987,237-88-02404,"서울특별시 영등포구 영중로 55 (영등포동6가, 티에스타워)", ,,예식장업,2022-03-14,12월
주식회사 웨딩그룹케이 파티앤조이,Wedding Group K Party & Joy,웨딩그룹케이파티앤조이, ,강호순,기타법인,194211-0189911,609-86-00776,"경상남도 창원시 성산구 중앙대로 64 2,3층 (상남동, 신텍타워)", ,,예식장업,2011-08-29,12월
(주)웨딩앤아이엔씨,WEDDINGN INC,웨딩앤아이엔씨, ,최인석,기타법인,110111-4374825,211-88-45852,"서울특별시 강남구 학동로 314 (논현동, 영남빌딩)2층 2호", ,,결혼 상담 및 준비 서비스업,2010-07-01,12월
웨딩팰리스주식회사,Wedding Palace,웨딩팰리스, ,안재형,기타법인,190111-0055217,608-81-57306,경상남도 마산시 오동동 18-61 기산프라자 235호, ,,예식장업,2004-10-14,12월
(주)웨딩팰리스,WEDDINGPALACE.Co.Ltd,웨딩팰리스, ,정병률,기타법인,201111-0020646,411-81-36240,전라남도 목포시 석현동 815-12,www.e-wp.co.kr,,예식장업,2003-11-08,12월
(주)웰랜드디앤씨,DOHWA ,웰랜드디앤씨, ,김태훈,기타법인,200111-0501621,666-86-00838,"광주광역시 서구 상무대로 928 (쌍촌동, 동광회관)", ,,산업 단체,2017-07-26,12월
주식회사 위니아에이드,"WINIA AID CO.,LTD.",위니아에이드,377460,김희웅,코스닥시장,200111-0418983,410-87-07666,광주광역시 광산구 소촌로123번길 40-11 소촌동,www.winiaaid.com,,개인 및 가정용품 수리업,2015-01-26,12월
주식회사 위더스,withus.co.ltd,위더스, ,조규한,기타법인,201311-0065763,178-88-00577,전라남도 순천시 장선배기길 33 (조례동), ,,산업 단체,2016-10-14,12월
